respondent_id,Artist,Art_practice,Purchase_art,Professional_artist,AI_models_familiarity,Used_AI_art_models,compensation,Age,POC,Gender_identity,Country,question_group,perspective_text
2,Yes,paint,Yes ,No,none,No,nocomp_but_no_forprofit,50-64,No ,Female,United States of America,threat,I agree that AI art models are a threat to art workers.
2,Yes,paint,Yes ,No,none,No,nocomp_but_no_forprofit,50-64,No ,Female,United States of America,utility,I disagree that AI art models are a positive development in the field of art.
2,Yes,paint,Yes ,No,none,No,nocomp_but_no_forprofit,50-64,No ,Female,United States of America,ownership,I disagree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
2,Yes,paint,Yes ,No,none,No,nocomp_but_no_forprofit,50-64,No ,Female,United States of America,transparency,I disagree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
2,Yes,paint,Yes ,No,none,No,nocomp_but_no_forprofit,50-64,No ,Female,United States of America,compensation,"I do not need to profit, but I do not want for-profit companies to profit from my art."
4,Yes,paint,Yes ,No,AI art generally,No,donate_to_trainer,30-49,No ,Female,United States of America,threat,I disagree that AI art models are a threat to art workers.
4,Yes,paint,Yes ,No,AI art generally,No,donate_to_trainer,30-49,No ,Female,United States of America,utility,I agree that AI art models are a positive development in the field of art.
4,Yes,paint,Yes ,No,AI art generally,No,donate_to_trainer,30-49,No ,Female,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I agree that AI-generated artwork in my style should be considered my property as the original artist. I agree that AI-generated artwork in my style should be considered the property of the AI model creators.
4,Yes,paint,Yes ,No,AI art generally,No,donate_to_trainer,30-49,No ,Female,United States of America,transparency,I agree that AI model creators should be required to disclose in detail what art and images they use to train their AI models.
4,Yes,paint,Yes ,No,AI art generally,No,donate_to_trainer,30-49,No ,Female,United States of America,compensation,I would donate the use of my artwork to train AI art models with no compensation.
7,Yes,music,No ,No,none,No,Other,18 - 29,No ,Male,United States of America,threat,I agree that AI art models are a threat to art workers.
7,Yes,music,No ,No,none,No,Other,18 - 29,No ,Male,United States of America,utility,I disagree that AI art models are a positive development in the field of art.
7,Yes,music,No ,No,none,No,Other,18 - 29,No ,Male,United States of America,ownership,I agree that AI-generated artwork in my style should be considered the property of the AI user. I neither agree nor disagree that AI-generated artwork in my style should be considered my property as the original artist. I neither agree nor disagree that AI-generated artwork in my style should be considered the property of the AI model creators.
7,Yes,music,No ,No,none,No,Other,18 - 29,No ,Male,United States of America,transparency,I am unsure whether AI model creators should be required to disclose in detail what art and images they use to train their AI models.
7,Yes,music,No ,No,none,No,Other,18 - 29,No ,Male,United States of America,compensation,I have another view on what compensation would be fair.
