cluster,rank,term,ctfidf_score,discriminativeness,n_gram
0,1,decentralized,0.018200332745129014,36.00365978104285,1
0,2,going,0.01674841941557991,2.084811897398545,1
0,3,technologies,0.01525967102308392,4.604989090671918,1
0,4,cultural,0.015042663313648792,4.755814510496197,1
0,5,art,0.01423772137984501,0.2229879178125618,1
0,6,statements,0.012408713451550108,29.99258008600134,1
0,7,production,0.012085966448410052,5.44416819574011,1
0,8,group,0.011185570156302947,7.5181368655546095,1
0,9,decision,0.009830305041269078,4.042346651847835,1
0,10,artists,0.008681537426734762,0.40217648264127426,1
0,11,sector,0.00846048644423871,7.977288105176928,1
0,12,want,0.008334275929665371,0.9926661816945649,1
0,13,social,0.008188116158727957,1.0636385004960585,1
0,14,decision making,0.008042519674698668,4.331085643269019,2
0,15,really,0.00798701443259598,0.3822571273296799,1
0,16,blockchain,0.007506351696385425,1.737165798453704,1
0,17,collective,0.007330416426074996,2.3595566200147275,1
0,18,technology,0.0072924914384572,0.8754435664955085,1
0,19,actually,0.007187923550981141,0.7512183503225742,1
0,20,advanced technologies,0.007164643718236043,38.412328589524485,2
1,1,ai,0.020632430968954892,0.3063453381780539,1
1,2,art,0.011886997266064547,0.18617141736989115,1
1,3,human,0.007381425380031731,0.40410904962333494,1
1,4,really,0.007217105482967761,0.34540941835482103,1
1,5,data,0.00694205482169651,0.8560465728157167,1
1,6,know,0.006877476989651631,0.16206349634087946,1
1,7,technology,0.006283127126348404,0.7542721533038663,1
1,8,lot,0.006279107218888224,0.6212588745457148,1
1,9,want,0.006028405756361307,0.7180221262620212,1
1,10,going,0.005824099449403571,0.34774024163807266,1
1,11,kind,0.0057330978955066406,0.18484848103627713,1
1,12,actually,0.005272446700022665,0.5510296101596809,1
1,13,future,0.004924613153083884,0.6856253322574734,1
1,14,use,0.004833076141687443,0.8146943108777587,1
1,15,ve,0.0046573279183533545,0.5296972550815024,1
1,16,artists,0.0045000775364387215,0.20846830074643063,1
1,17,images,0.004393705583352221,0.3607599566525157,1
1,18,need,0.004330263289780657,0.9367503267971614,1
1,19,create,0.004277073033155747,0.9762747483829538,1
1,20,tools,0.004130083248351088,0.25597123680034717,1
2,1,ai,0.024595184149068743,0.3651833376801373,1
2,2,art,0.02338953786725165,0.36632156287309575,1
2,3,learning,0.01178436208868072,0.9819244840620621,1
2,4,mit,0.009655956854807638,2.3761806396778438,1
2,5,human,0.009108766973510478,0.49867538793569927,1
2,6,machine,0.008318959344537958,0.784026499984414,1
2,7,intelligence,0.00811054593531755,0.7705157554532502,1
2,8,artificial,0.007753108158210134,0.7112453129582925,1
2,9,machine learning,0.007642257929354989,2.488750774530588,2
2,10,technology,0.007233877690902573,0.8684071470992114,1
2,11,data,0.004991105190964645,0.6154688493577567,1
2,12,artificial intelligence,0.0047810833642295825,0.4889325698139983,2
2,13,microsoft,0.00443741586996357,2.506160022728343,1
2,14,creativity,0.004166779218299442,0.30609730320332224,1
2,15,arts,0.00415130937214889,0.5723860290688788,1
2,16,jewelry,0.004145783572482376,11.113549382200436,1
2,17,2019,0.004112317591763108,1.0309874671522188,1
2,18,barbican,0.003985286904061394,1.8361395457937604,1
2,19,2018,0.003902370515315194,1.035078685755333,1
2,20,met,0.003898680213972829,2.154003987768384,1
3,1,know,0.02927453243501768,0.6898362709613024,1
3,2,ai,0.019897064139611603,0.2954267895901992,1
3,3,art,0.015328553944413773,0.2400722865655324,1
3,4,really,0.011902171298015402,0.5696358567723749,1
3,5,yeah,0.010151331416689958,0.3341660171644437,1
3,6,lot,0.007860053785165529,0.7776787365171519,1
3,7,kind,0.0077956271147953185,0.25134924558405547,1
3,8,going,0.007666773774054901,0.4577610303421779,1
3,9,artists,0.007574109007827983,0.35087431755224696,1
3,10,ve,0.007465502973094053,0.8490826718615196,1
3,11,technology,0.007453885055322776,0.8948184268914092,1
3,12,thing,0.005972402378475242,0.3622752752503917,1
3,13,say,0.005785764804147891,0.5849236191326669,1
3,14,human,0.005350277130717404,0.29291028428798926,1
3,15,use,0.00528806460594162,0.8913900844339904,1
3,16,mean,0.0050743228264206845,0.4650831221906876,1
3,17,want,0.00474884612395564,0.565618295950918,1
3,18,future,0.004508398218945228,0.6276781405413816,1
3,19,create,0.004381013585174229,1.0243017710435527,1
3,20,sort,0.004273113959091104,0.10350722187724375,1
4,1,sort,0.04128324450450576,5.151916820063683,1
4,2,know,0.03982296115334545,0.938403476866463,1
4,3,kind,0.031015120302214726,2.9162385290498136,1
4,4,thing,0.016485812723818383,2.186888078754139,1
4,5,art,0.014070779607515394,0.22037331416816003,1
4,6,ai,0.011946888346003638,0.17738450481374965,1
4,7,human,0.011265305361275894,0.6167388558281803,1
4,8,mean,0.010910571761905094,1.347684363670782,1
4,9,say,0.009891487634291029,1.4146432244780185,1
4,10,interesting,0.009341960543497084,1.2392365779606789,1
4,11,ve,0.008792433452703138,1.081067725794758,1
4,12,mental images,0.00852051377499995,15.412910939548269,2
4,13,images,0.008517669907306165,0.6993719010630112,1
4,14,language,0.007967186866623966,3.5677336076438695,1
4,15,brains,0.007845892263741475,4.648941667020425,1
4,16,computational,0.007845892263741475,2.5688188704974553,1
4,17,really,0.007699105822980122,0.3684778711415238,1
4,18,question,0.007433619415291151,1.2397178306543608,1
4,19,pixels,0.007035338671749079,3.984807153573925,1
4,20,mental,0.006968438190199213,3.743135989928269,1
5,1,cohen,0.06776089351694743,52.01083878752812,1
5,2,aaron,0.05131027196948043,47.16745637270022,1
5,3,computer,0.021713090996794505,2.141871414483866,1
5,4,art,0.01977422318797597,0.309699335828388,1
5,5,creativity,0.013612596857548816,1.544989478740461,1
5,6,2010,0.011994939659227656,10.710036829166974,1
5,7,harold,0.011994939659227656,10.441650698299801,1
5,8,museum,0.011989809706266114,0.7034507535374599,1
5,9,harold cohen,0.011412522747395184,9.361479983423123,2
5,10,program,0.011249633260986316,5.489960518077493,1
5,11,machine,0.010610558783791982,1.2754670646649968,1
5,12,self,0.009821410353748204,1.9103006035536563,1
5,13,2011,0.009099609396655464,8.124855525574946,1
5,14,drawings,0.008935956803667168,4.136027408365906,1
5,15,history museum,0.008292248233115314,30.002453412823055,2
5,16,human,0.007986424274683037,0.4372307728344224,1
5,17,relationship,0.007499755507324211,7.524012168882408,1
5,18,extended,0.007077767643773583,3.7620062618987804,1
5,19,2009,0.007050266377485861,5.796380569708031,1
5,20,color,0.006894140581103016,2.3212857221808663,1
6,1,art,0.04766673817268634,0.746545490705451,1
6,2,museums,0.024645729187096316,10.187879001092098,1
6,3,museum,0.01704427719442703,1.4215636002432124,1
6,4,publishing,0.016540393362821537,8.399465765633028,1
6,5,writing,0.015618829364449239,10.089602805263196,1
6,6,digital,0.015543085310274408,1.1609005262562506,1
6,7,journalism,0.012726859857579013,2.1717081479954072,1
6,8,important,0.01216415372108432,4.515098968147944,1
6,9,media,0.010136794767570267,0.5616486654363653,1
6,10,stories,0.010108018166168716,1.0858540808619004,1
6,11,artists,0.009794535240962946,0.45373665270231306,1
6,12,years,0.00914156622489875,1.6332295081873176,1
6,13,lives,0.008802046138248686,6.4086590826225045,1
6,14,news,0.00859035615044708,1.3271549814733719,1
6,15,critics,0.008484573238386008,7.14768623059534,1
6,16,curatorial,0.008484573238386008,11.6992866430255,1
6,17,coming,0.008398050874217827,1.8665480012187916,1
6,18,data,0.008109435814056213,1.1681607111334142,1
6,19,criticism,0.008065416527865072,12.207293526048097,1
6,20,visually,0.007839802183397214,8.140568549730352,1
7,1,know,0.04243692829494067,1.0656396952744347,1
7,2,art,0.024279834596607847,0.3802651854948662,1
7,3,really,0.015201287747441434,0.7275309986087213,1
7,4,kind,0.010635316590751034,0.34290747392976706,1
7,5,lot,0.008033058275992802,0.794795911223039,1
7,6,interesting,0.007538480210894686,0.8069484017942425,1
7,7,thing,0.007538480210894686,0.4572707631378196,1
7,8,mean,0.007386895108913021,0.6770401407377007,1
7,9,actually,0.007101466865335574,0.7421826603483598,1
7,10,say,0.006992213528945797,0.7068919981274144,1
7,11,yeah,0.006685149996336356,0.22006472419467504,1
7,12,ve,0.005571920155878681,0.6337176303329191,1
7,13,gonna,0.005378684463350795,0.4281823051134725,1
7,14,going,0.0052045166295164634,0.3107467319334255,1
7,15,said,0.004750402421075449,0.6666666573107345,1
7,16,artist,0.0046448379228293275,0.5462945937254681,1
7,17,feel,0.004338335222694949,1.124768039878885,1
7,18,doing,0.004299383302644035,0.7888934509229207,1
