hidden_layer_sizes,alpha,lr,n_params,r2_train,r2_val,cv_r2_mean,cv_r2_std,knn_preservation_k15,cluster_agreement,cluster_ari,min_cluster_r2,mean_cluster_r2,max_mae_dim,n_iter,composite,min_cluster_r2_clipped,composite_fixed
"(1024, 512, 256, 128)",0.0001,0.002,1739269,0.98822,0.9043,0.87803,0.02388,0.45824,0.73946,0.52942,-46265300.0,-2723156.09898,1.35532,44,,0.0,0.985524233005743
"(1024, 512, 256, 128)",0.01,0.002,1739269,0.98794,0.90493,0.87855,0.02648,0.46028,0.73563,0.51926,-77022032.0,-4531560.27452,1.34807,45,,0.0,0.9849929415464909
"(1024, 512, 256, 128, 64)",0.001,0.002,1747205,0.97676,0.8968,0.88989,0.018,0.45517,0.73563,0.52731,-72010736.0,-4236701.8147,1.27891,22,,0.0,0.9838248345162398
"(1024, 512, 256, 128)",1e-05,0.002,1739269,0.98804,0.9063,0.87584,0.02475,0.45211,0.7433,0.53345,-62563000.0,-3681751.32811,1.37614,35,,0.0,0.9826107344840381
"(1024, 512, 256, 128)",1e-06,0.002,1739269,0.98817,0.90406,0.87879,0.02796,0.45083,0.73946,0.53174,-74439944.0,-4379917.6089,1.37409,45,,0.0,0.9789785796219507
"(1024, 512, 256, 128, 64)",1e-05,0.002,1747205,0.97503,0.90642,0.88668,0.02723,0.45032,0.70881,0.48363,-44339908.0,-2609484.36691,1.31289,35,,0.0,0.9723749828383859
"(1024, 512, 256, 128, 64)",0.001,0.001,1747205,0.98512,0.88547,0.86463,0.02792,0.44649,0.7433,0.54135,-60470292.0,-3558807.41265,1.36822,56,,0.0,0.9694559940048368
"(1024, 512, 256, 128)",0.001,0.002,1739269,0.98177,0.90161,0.87507,0.02522,0.44419,0.71648,0.49805,-58870860.0,-3464074.22206,1.41624,21,,0.0,0.9683950415749022
"(1024, 512, 256, 128, 64)",0.0001,0.002,1747205,0.98177,0.9033,0.88866,0.02022,0.44802,0.68582,0.46768,-44813468.0,-2636836.74874,1.29326,36,,0.0,0.9668383881464844
"(1024, 512, 256, 128, 64)",1e-06,0.002,1747205,0.96833,0.89031,0.8837,0.02676,0.44138,0.72797,0.50592,-50372312.0,-2965706.7009,1.3608,33,,0.0,0.9662350072822378
"(1024, 512, 256, 128, 64)",1e-05,0.001,1747205,0.98584,0.87921,0.86397,0.02912,0.44521,0.72414,0.51275,-93974704.0,-5529403.16069,1.36246,59,,0.0,0.9608138200759911
"(1024, 512, 256, 128, 64)",0.01,0.002,1747205,0.9768,0.88964,0.88369,0.02224,0.44981,0.66667,0.4641,-61441172.0,-3615898.46298,1.45752,20,,0.0,0.9569202564240081
"(1024, 256, 1024)",0.0001,0.002,1580293,0.98319,0.8816,0.87317,0.02575,0.44189,0.70115,0.46544,-68433552.0,-4026864.96386,1.41941,82,,0.0,0.9557111528969559
"(1024, 512, 256, 64)",0.0001,0.002,1722501,0.98282,0.88301,0.8691,0.02465,0.43602,0.71264,0.49229,-91751152.0,-5399019.43735,1.39076,47,,0.0,0.9554504030484232
"(1024, 512, 256, 64)",0.001,0.002,1722501,0.98196,0.87844,0.8661,0.02557,0.43499,0.71648,0.49414,-91136640.0,-5363464.37432,1.41698,29,,0.0,0.9535743546178084
"(1024, 512, 256, 64)",0.01,0.002,1722501,0.98308,0.88662,0.86797,0.02439,0.43678,0.68582,0.46434,-90711840.0,-5338138.48307,1.37848,45,,0.0,0.9499068473863864
"(1024, 512, 256, 128, 64)",1e-06,0.001,1747205,0.97503,0.88156,0.86323,0.02934,0.43193,0.70115,0.49459,-62324780.0,-3668773.41282,1.35857,36,,0.0,0.9465740697942353
"(1024, 512, 256, 128, 64)",0.01,0.001,1747205,0.9821,0.87362,0.86943,0.02766,0.43627,0.69349,0.50259,-67215816.0,-3957318.52168,1.46709,22,,0.0,0.9461195385357353
"(1024, 256, 1024)",1e-05,0.002,1580293,0.98023,0.86536,0.87086,0.02556,0.43627,0.69732,0.4675,-75539160.0,-4445078.50954,1.4119,36,,0.0,0.9454632403709587
"(1024, 256, 1024)",0.01,0.002,1580293,0.97997,0.87207,0.87415,0.02825,0.43908,0.67433,0.44102,-86027072.0,-5061732.69769,1.41683,31,,0.0,0.9425640315061412
"(1024, 512, 256, 64)",1e-05,0.002,1722501,0.98022,0.8762,0.86882,0.0293,0.42631,0.70115,0.48765,-100765472.0,-5929367.92192,1.41926,26,,0.0,0.9417821194376068
"(1024, 256, 1024)",0.001,0.002,1580293,0.98,0.8684,0.8723,0.02584,0.43397,0.68199,0.44487,-61665076.0,-3629105.65262,1.42458,36,,0.0,0.9408891046732
"(1024, 512, 256, 128, 64)",0.0001,0.001,1747205,0.98055,0.88128,0.86587,0.02721,0.42605,0.68582,0.46816,-65548008.0,-3857379.91051,1.39484,36,,0.0,0.9397197267045478
"(1024, 512, 256, 128)",0.01,0.001,1739269,0.98763,0.87884,0.85572,0.03175,0.42554,0.69732,0.49245,-59828040.0,-3521042.74888,1.46478,24,,0.0,0.9386173695443873
"(512, 256, 128, 64)",0.001,0.002,697605,0.98374,0.88555,0.86775,0.02715,0.42427,0.67433,0.45975,-78653272.0,-4628089.0871,1.39035,69,,0.0,0.9371177819349267
"(1024, 256, 1024)",1e-06,0.002,1580293,0.97978,0.86739,0.87341,0.02749,0.43269,0.67433,0.43915,-67143136.0,-3951300.05728,1.44212,36,,0.0,0.9370878244785847
"(512, 256, 128, 64)",0.0001,0.002,697605,0.98081,0.88622,0.86649,0.02872,0.42478,0.6705,0.44663,-66420608.0,-3908545.4428,1.42848,45,,0.0,0.9358371947744406
"(1024, 512, 256, 128)",0.0001,0.001,1739269,0.98618,0.87708,0.85215,0.02863,0.42784,0.67816,0.45481,-68656096.0,-4040537.81259,1.48422,24,,0.0,0.935294173385606
"(512, 256, 128, 64)",0.01,0.002,697605,0.98216,0.88716,0.86616,0.02818,0.42222,0.6705,0.44869,-73845608.0,-4345278.56505,1.45915,36,,0.0,0.9346705818129409
"(1024, 512, 128)",0.001,0.002,1640709,0.98624,0.87131,0.85254,0.02509,0.41277,0.71264,0.46738,-65789364.0,-3872174.60437,1.63174,31,,0.0,0.9343776014123499
"(1024, 512, 256, 128)",1e-05,0.001,1739269,0.98641,0.87379,0.85322,0.02819,0.42273,0.68966,0.48327,-68493552.0,-4030924.65755,1.47453,24,,0.0,0.9342749425779288
"(1024, 512, 256, 64)",1e-06,0.002,1722501,0.97929,0.87685,0.86823,0.02781,0.42197,0.67816,0.4645,-95618592.0,-5626739.39644,1.42745,24,,0.0,0.9335451617748902
"(512, 256, 128, 64)",1e-06,0.002,697605,0.98495,0.88061,0.87049,0.02546,0.42197,0.659,0.43961,-80794640.0,-4754118.45381,1.4349,36,,0.0,0.9308800060994695
"(512, 256, 128, 64)",1e-05,0.002,697605,0.97871,0.87716,0.86889,0.02572,0.41635,0.67433,0.45189,-65748020.0,-3868966.09338,1.41119,44,,0.0,0.9299104823067176
"(1024, 512, 256, 128)",0.001,0.001,1739269,0.98667,0.87767,0.85103,0.0307,0.42171,0.6705,0.44866,-60175040.0,-3541634.93829,1.48437,24,,0.0,0.9284334768716264
"(1024, 512, 128)",0.01,0.002,1640709,0.98457,0.87008,0.85595,0.02843,0.40792,0.70498,0.45743,-64913832.0,-3820835.03139,1.61831,26,,0.0,0.9277218609305353
"(1024, 512, 256, 128)",1e-06,0.001,1739269,0.98652,0.87554,0.85399,0.03165,0.41737,0.67816,0.46689,-70044144.0,-4122130.70739,1.4876,24,,0.0,0.9268925516746931
"(512, 256, 64)",0.0001,0.002,672901,0.99015,0.86757,0.84201,0.02544,0.4235,0.66667,0.4301,-49450652.0,-2910687.31876,1.60698,85,,0.0,0.9264331602046818
"(1024, 512, 128)",1e-06,0.002,1640709,0.98673,0.86832,0.85443,0.02611,0.40434,0.70498,0.46375,-71627440.0,-4215623.61471,1.58272,39,,0.0,0.9256143304227455
"(1024, 256, 64)",1e-05,0.002,1328773,0.97994,0.86806,0.85231,0.02167,0.40945,0.68199,0.44651,-48067248.0,-2828948.09981,1.49127,57,,0.0,0.9243085917977534
"(1024, 512, 128)",0.0001,0.002,1640709,0.98696,0.86962,0.85394,0.02719,0.40562,0.69732,0.45287,-72721648.0,-4280139.06885,1.6108,46,,0.0,0.9243069157726402
