cluster,n_points,within_similarity,across_similarity,separation_ratio
0,38,0.8507026433944702,0.8094888549101981,1.050913348749876
1,50,0.8357900381088257,0.8183994795146742,1.0212494740372262
2,50,0.8329077363014221,0.8125703177954021,1.025028502713088
3,50,0.8434271216392517,0.8208868880020944,1.0274583914834732
4,49,0.8628506660461426,0.8190005829459742,1.0535409667684044
5,44,0.8515902161598206,0.7999694159156397,1.064528467102262
6,18,0.8584720492362976,0.8139994238552294,1.0546347134559082
7,50,0.8428258299827576,0.8097511561293351,1.0408454788844477
8,50,0.8452995419502258,0.8067116517769662,1.0478335598394761
9,11,0.8893133401870728,0.8154941734514738,1.0905207774987733
10,10,0.8927285075187683,0.8209515402191564,1.0874314300838117
11,50,0.846205472946167,0.8228181537828947,1.028423435910969
12,18,0.8722356557846069,0.8096162394473427,1.077344565460143
13,50,0.8471975922584534,0.8202741397054572,1.032822505485034
14,50,0.8400886654853821,0.8098457392893339,1.0373440577940842
15,50,0.8500502109527588,0.8178327522779766,1.0393937005837746
16,50,0.8458837866783142,0.8104143958342703,1.0437669801054728
17,50,0.842643678188324,0.8145971862893355,1.0344298903404063
18,50,0.8525264859199524,0.8197866364529258,1.039937037159684
19,43,0.8607715964317322,0.8195010298176816,1.05036060359582
