metric,no_prefix,with_prefix,delta,pct_change
H1: Top-4 concentration,91.02462271644161,95.94916600476569,4.924543288324074,5.4101221640488735
H1: Zero-artist topics,22.0,19.0,-3.0,-13.636363636363635
H1: Zero-topic public mass,73.84960718294052,60.49382716049383,-13.355780022446687,-18.085106382978722
H2: Cramer's V (raw),0.7984500754006368,0.8391409646393296,0.040690889238692796,5.096234629106322
H2: Cramer's V (style),0.6306231565213363,0.7526308090503846,0.12200765252904833,19.34715705685006
H2: JSD (raw),0.3862273749179134,0.4516292191191687,0.06540184420125528,16.93350819971148
H2: JSD (style),0.2187693311891566,0.3428784204874158,0.1241090892982592,56.73057033343928
H2: Centroid dist (raw),1.5450632572174072,5.287899971008301,3.7428367137908936,242.24488520499685
H2: Centroid dist (style),1.1457492113113403,3.658977508544922,2.5132282972335815,219.35239164224475
H2: kNN artist,0.9948106963198305,1.0,0.005189303680169455,0.5216373023899513
H2: kNN probes,0.7967479674796748,0.8565621370499419,0.059814169570267084,7.507288629737603
Projection R2,0.7418040633201599,0.987892210483551,0.2460881471633911,33.17427867164168
PCA PC1,41.34333038330078,24.333715438842773,-17.009614944458008,-41.1423454284668
PCA PC2,26.09600067138672,19.760692596435547,-6.335308074951172,-24.276931762695312
Public entropy,0.9660458439211181,0.9711656188412582,0.005119774920140041,0.5299722525961297
