n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size
42,0.01,4,5,0.9166228641105565,0.9360995977734277,25,0.6837062239646912,0.6728960479629903,10
42,0.01,5,5,0.9177152230524115,0.9414801100774376,20,0.6554068326950073,0.6927018529614548,10
42,0.01,6,5,0.92090698786018,0.9416835231369888,20,0.6588686108589172,0.6868593422569644,10
42,0.01,8,5,0.9197957053235635,0.9415843768582691,20,0.6945137977600098,0.6565047487555671,10
42,0.03,4,5,0.9169001504314468,0.9362834015361952,20,0.6626607179641724,0.68172586831577,10
42,0.03,5,5,0.9195192872617269,0.9420166540991733,20,0.6622496843338013,0.6465629702965161,10
42,0.03,6,5,0.9194628504232317,0.941999498190793,20,0.6545324921607971,0.6303250025941475,10
42,0.03,8,5,0.9201812791325958,0.9423923787337088,20,0.6710155606269836,0.6361241975134001,10
42,0.05,4,5,0.9167102688553028,0.9363352833541159,25,0.6255233883857727,0.6442478530421437,10
42,0.05,5,5,0.9222080183946246,0.9425237530074602,30,0.6302272081375122,0.6903959648877909,10
42,0.05,6,5,0.9219346503710026,0.9426117098759125,25,0.6553360819816589,0.6888166652192058,10
42,0.05,8,5,0.9221717741448928,0.9428943393294414,20,0.6498186588287354,0.7034854896133614,10
45,0.01,4,5,0.9158810814589513,0.9357839700232449,20,0.6608784198760986,0.7058208337412439,10
45,0.01,5,5,0.9194586872323842,0.9403397519940461,20,0.6795192360877991,0.7106268673416766,10
45,0.01,6,5,0.9211573804134561,0.9409186982258797,20,0.658688485622406,0.6329946787689792,10
45,0.01,8,5,0.9220772674863478,0.94113189367077,25,0.6553904414176941,0.6818727261379256,10
45,0.03,4,5,0.9164368563055756,0.9364769743264703,25,0.6333358287811279,0.6811555818205879,10
45,0.03,5,5,0.919396083528302,0.940813821437405,20,0.6683300733566284,0.6759762835967605,10
45,0.03,6,5,0.920661649019858,0.9417938321103124,20,0.6452473998069763,0.6762876932328249,10
45,0.03,8,5,0.9213955505508213,0.9418605722895791,25,0.6423479318618774,0.7116660152228347,10
45,0.05,4,5,0.9185089231428217,0.9364320252231482,20,0.6400129199028015,0.6896817653412602,10
45,0.05,5,5,0.9215776623215867,0.9415974007440757,20,0.6300322413444519,0.7102062371851272,10
45,0.05,6,5,0.9219741895525282,0.9422274896604819,20,0.6348700523376465,0.6920386948347061,10
45,0.05,8,5,0.9232576100123182,0.9425345416827795,20,0.6570148468017578,0.7357621774154853,10
53,0.01,4,5,0.9154348185683655,0.9356372431483786,30,0.6511217355728149,0.6658061893596798,10
53,0.01,5,5,0.9195274578020534,0.9408329676626934,25,0.6499696373939514,0.7128436519167313,10
53,0.01,6,5,0.9194338639286674,0.9414508920471256,20,0.6642486453056335,0.6834702184277691,10
53,0.01,8,5,0.9200800045060419,0.9415976278272129,20,0.6759796142578125,0.6814114920642085,10
53,0.03,4,5,0.9152772852077377,0.9360074064723592,20,0.6519634127616882,0.6324938806959175,10
53,0.03,5,5,0.920486861793418,0.941373835169256,20,0.6634198427200317,0.7082566291573098,10
53,0.03,6,5,0.9212321397442911,0.9420679793407777,20,0.655436098575592,0.6478674857313456,10
53,0.03,8,5,0.9199473612382888,0.9424111954658176,20,0.6500550508499146,0.7023247303017033,10
53,0.05,4,5,0.915918839596264,0.9362255799358244,20,0.6367326974868774,0.6458275878610322,10
53,0.05,5,5,0.921857776050165,0.9418986064887447,25,0.6403999328613281,0.6761982337650154,10
53,0.05,6,5,0.9180984147148092,0.9426576519113832,20,0.6358411312103271,0.6845263166828565,10
53,0.05,8,5,0.9207394138628021,0.9430278196879744,25,0.6223283410072327,0.7144784415756039,10
70,0.01,4,5,0.9187237170748932,0.9351039628901627,20,0.6429334282875061,0.657610849077036,10
70,0.01,5,5,0.9212477906703116,0.9407047770054724,20,0.653155505657196,0.70902268211355,10
70,0.01,6,5,0.9172544446514909,0.9412390279327842,25,0.6270332336425781,0.6963130278088823,10
70,0.01,8,5,0.9182780775497819,0.9414846784558435,20,0.6646593809127808,0.6881979900883735,10
70,0.03,4,5,0.915193709708049,0.9351685212902685,35,0.6261381506919861,0.6729528339685681,10
70,0.03,5,5,0.9189032240684972,0.941024870724019,20,0.6440310478210449,0.6512419559215205,10
70,0.03,6,5,0.9182719106841948,0.9416128067765172,30,0.6325076222419739,0.6948790598900771,10
70,0.03,8,5,0.9184543564007501,0.941943137046677,20,0.6449714303016663,0.6470071697215619,10
70,0.05,4,5,0.91713838735797,0.9349431969342886,20,0.6221931576728821,0.6990360949001708,11
70,0.05,5,5,0.9198385839629881,0.941530072820219,25,0.6187765598297119,0.669354029066161,10
70,0.05,6,5,0.9202357568224568,0.9418732666822063,20,0.6462277770042419,0.6615245718963324,10
70,0.05,8,5,0.9193177621090414,0.9423721460714507,20,0.6228684782981873,0.6873677549712236,10
87,0.01,4,5,0.9119931287314268,0.9332896354135707,20,0.6638444066047668,0.6922391958323219,10
87,0.01,5,5,0.9159341788395473,0.940214036988281,20,0.6213212013244629,0.6730082361836618,10
87,0.01,6,5,0.915820392377398,0.9408896983734836,20,0.6431688666343689,0.6804051002893778,10
87,0.01,8,5,0.9156186445941857,0.9409255329830465,20,0.6659848690032959,0.722283818297193,10
87,0.03,4,5,0.914353657941999,0.933224542700201,20,0.6425060033798218,0.6993443905626812,10
87,0.03,5,5,0.9167965381843635,0.9406557493109029,20,0.633597731590271,0.7136945126395814,10
87,0.03,6,5,0.9153648012677473,0.9411345563318683,20,0.6238818764686584,0.6811364921955364,10
87,0.03,8,5,0.9147789490369783,0.9416388901690145,20,0.6185939908027649,0.6995885823041402,10
87,0.05,4,5,0.9138984453042436,0.933239494566368,20,0.6278746724128723,0.6277352678323783,10
87,0.05,5,5,0.9171353818458609,0.9411668154951738,20,0.6026660203933716,0.6499603456046913,10
87,0.05,6,5,0.9197778503553294,0.9420517629332196,20,0.603100061416626,0.676473434487331,10
87,0.05,8,5,0.9154633598018767,0.9421170649192842,20,0.6289974451065063,0.6923912553337914,10
174,0.01,4,5,0.9123971808741677,0.9311160535088018,30,0.5723640322685242,0.6755638837982774,10
174,0.01,5,5,0.9146974217381344,0.9410978846315252,25,0.5941780209541321,0.671213848693871,11
174,0.01,6,5,0.9144488770182292,0.9417944109496817,60,0.5569503307342529,0.6407381076385855,8
174,0.01,8,5,0.9137358359676091,0.9423219829611954,25,0.5741755962371826,0.6805510022041554,11
174,0.03,4,5,0.9101619703870232,0.9305820474750692,25,0.5626499056816101,0.6753778343898403,11
174,0.03,5,5,0.9126318557122652,0.9412313115587321,25,0.5713348984718323,0.7076904260266833,11
174,0.03,6,5,0.9137255281742271,0.9426364218643659,40,0.5269284844398499,0.6717476356234572,17
174,0.03,8,5,0.9139012281858261,0.942973137178029,20,0.551602303981781,0.6879752841094203,11
174,0.05,4,5,0.911061175083993,0.930057431996949,20,0.5258927941322327,0.6521939995269332,26
174,0.05,5,5,0.9147811085530864,0.9413243132349173,20,0.5376564264297485,0.6710937024316074,18
174,0.05,6,5,0.9160436017433752,0.9431742571431562,25,0.5088666081428528,0.66238825894572,17
174,0.05,8,5,0.914076349358056,0.9437232551165504,25,0.5484074354171753,0.6804517659453362,17
