n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size,sil_norm,ari_norm,combined_score
53,0.01,5,30,0.9216894451089965,0.9405793128301009,20,0.684928297996521,0.699432327232286,10,0.8785665293408196,0.8865875677092594,0.8825770485250395
45,0.03,8,30,0.9219654401728326,0.9418108440509523,20,0.6722891330718994,0.7072067900606489,10,0.6966794413235733,0.9363220379216872,0.8165007396226303
36,0.05,6,30,0.919992176763295,0.9424166914714179,20,0.6648567318916321,0.7148814370071237,10,0.5897215991150822,0.9854179701265268,0.7875697846208045
36,0.01,8,30,0.9200472332925251,0.941257029095064,20,0.6933665871620178,0.6392831076254101,10,0.99999985609248,0.501803482058306,0.750901669075393
36,0.03,8,30,0.9216259286197553,0.9419994596015017,20,0.6810594797134399,0.6631565885916981,10,0.8228913248653495,0.6545259214342024,0.7387086231497759
36,0.05,8,30,0.9206369592944572,0.9425489955986687,20,0.6616454720497131,0.7016968195254574,10,0.5435091550970809,0.9010738836113857,0.7222915193542333
42,0.03,8,30,0.9213016004685928,0.9422001424686949,20,0.6582876443862915,0.6996858026461819,10,0.49518748990749556,0.8882090900832549,0.6916982899953752
36,0.05,5,30,0.9221473070500186,0.9416474451180503,20,0.6574320197105408,0.6883662772624187,10,0.4828744073869222,0.8157962931548614,0.6493353502708918
53,0.03,5,30,0.9217884934302845,0.9411402059525317,20,0.6437491178512573,0.717160881251417,10,0.28596715998146555,0.999999936028416,0.6429835480049407
45,0.05,8,30,0.9228902251173096,0.9426039742072145,20,0.6480569839477539,0.704830516575145,10,0.3479605926594116,0.9211206400257165,0.634540616342564
45,0.01,6,30,0.9200080280567895,0.9407412468541378,20,0.6585224270820618,0.6779229086247189,10,0.4985661894580729,0.7489884097170222,0.6237772995875476
42,0.01,6,30,0.920242502527413,0.9414819809159629,30,0.6620379090309143,0.6673442006286354,10,0.549156618372278,0.6813147389654218,0.61523567866885
45,0.03,5,30,0.9224146640494222,0.9410247853823173,20,0.6409595608711243,0.7116436891921254,10,0.24582333726844904,0.9647055844845345,0.6052644608764918
53,0.01,8,30,0.9198984047854877,0.9413022423866111,20,0.663227915763855,0.6556593436531118,10,0.566281710153765,0.6065648579748624,0.5864232840643138
53,0.03,8,30,0.920264097688494,0.9419871718806365,20,0.644331693649292,0.6978853498690563,10,0.29435086381679004,0.8766913084705937,0.5855210861436919
42,0.05,5,30,0.922852266612523,0.9421009546322772,20,0.6489071846008301,0.6853461656030115,10,0.36019561941479006,0.7964761604744377,0.5783358899446138
53,0.03,6,30,0.91999079645403,0.9416553588911695,20,0.6482054591178894,0.6836335326200046,10,0.3500972620121631,0.7855201759956855,0.5678087190039243
45,0.01,8,30,0.9220148196236342,0.9411096907283514,20,0.6760151386260986,0.6195836531976935,10,0.7502994632341325,0.37578295162859704,0.5630412074313648
53,0.05,5,30,0.9215204240131958,0.9416356842894312,20,0.6466251611709595,0.6750588258169391,10,0.32735558615929233,0.7306664183159202,0.5290110022376062
42,0.05,8,30,0.9223337155899475,0.9428711048655828,20,0.6474799513816833,0.672444966132631,10,0.3396566601006049,0.7139451438717976,0.5268009019862012
45,0.05,5,30,0.9204768434197207,0.9417022456221747,20,0.6404732465744019,0.6860552447531733,10,0.23882490882641785,0.8010122521183922,0.519918580472405
45,0.03,6,30,0.9213821927192248,0.9414976169999482,20,0.6594215631484985,0.6422052738063401,10,0.5115054336115281,0.5204970419980388,0.5160012378047835
53,0.05,8,30,0.9205326346296886,0.9426506791232899,20,0.629579484462738,0.7048723104517135,10,0.08205547984434727,0.9213880020744072,0.5017217409593773
42,0.05,6,30,0.9209919659321864,0.9428666040184364,20,0.6383634805679321,0.6848875870686921,10,0.20846378943260294,0.7935425609501128,0.5010031751913578
53,0.05,6,30,0.9204637972708615,0.9421926509514746,20,0.6316223740577698,0.691245988187152,10,0.11145419738597945,0.8342182600956574,0.47283622874081843
36,0.05,4,30,0.9196930058616392,0.9370735269224499,30,0.6410461664199829,0.6689658129047943,10,0.2470696562445823,0.6916884495645004,0.46937905290454135
42,0.01,5,30,0.9214073944948369,0.9410441735327776,20,0.6589614152908325,0.6221064828005214,10,0.5048835599048874,0.3919218922220395,0.44840272606346343
45,0.05,6,30,0.9203724742288468,0.9420369268349265,20,0.6238775253295898,0.678640853291295,10,0.0,0.7535812154738047,0.37679060773690237
42,0.03,5,30,0.9210691519357613,0.9415582571027857,20,0.6461269855499268,0.6280034194009892,10,0.32018646434062625,0.42964552974855663,0.37491599704459144
36,0.01,6,30,0.9205677657267873,0.94113783345322,15,0.6659849882125854,0.5608414855121716,11,0.6059580560312738,0.0,0.3029790280156369
