n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size
20,0.01,4,30,0.9183462470170293,0.9361201881287317,50,0.7164279222488403,0.667338570351859,6
20,0.01,5,30,0.916236310727207,0.9383451917483333,50,0.6909689903259277,0.6337687494953018,6
20,0.01,6,30,0.9160927363005975,0.9388765796470726,50,0.7196136116981506,0.6874973319829665,6
20,0.01,8,30,0.9187742542044331,0.9392544266926284,50,0.7293052077293396,0.6495741372246486,6
20,0.03,4,30,0.9195782843512781,0.9364506898243973,50,0.7279654145240784,0.6729560092302482,6
20,0.03,5,30,0.9181083440362959,0.9389920966905155,50,0.6780103445053101,0.6224381374936985,6
20,0.03,8,30,0.918723004657208,0.9400263876542172,50,0.6923965215682983,0.6777071258745491,6
20,0.03,6,30,0.9175163472029926,0.9396401311115697,50,0.695773720741272,0.6525939642523879,6
20,0.05,4,30,0.9195618987445197,0.9367031899466586,50,0.6891509890556335,0.6700553271253941,6
20,0.05,5,30,0.9185857306745014,0.9396840004568381,50,0.7003451585769653,0.6356916367783845,6
20,0.05,8,30,0.9182502042078505,0.9406006994605887,50,0.6715717315673828,0.649507860045782,6
20,0.05,6,30,0.9189908514437701,0.9403199816611812,50,0.6862520575523376,0.6820067513784882,6
36,0.01,4,30,0.9182336404966709,0.9368531316063288,25,0.6499010920524597,0.6699058382468034,10
36,0.01,5,30,0.9196113895105846,0.9404012388349864,20,0.7043492197990417,0.6575176779552658,10
36,0.01,8,30,0.9200472332925251,0.941257029095064,20,0.6933665871620178,0.6392831076254101,10
36,0.01,6,30,0.9205677657267873,0.94113783345322,15,0.6659849882125854,0.5608414855121716,11
36,0.03,4,30,0.9184891980781642,0.9370225037162601,20,0.6459888815879822,0.6610177347958968,10
36,0.03,5,30,0.9194226210870737,0.9410909437538074,20,0.6656402349472046,0.6923194061596856,10
36,0.03,8,30,0.9216259286197553,0.9419994596015017,20,0.6810594797134399,0.6631565885916981,10
36,0.03,6,30,0.9196260385992354,0.9418307256990803,20,0.6535065770149231,0.6637669254121099,11
